web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4-src
"1732824639-70","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement à louer à La Somone","https://www.dakarvente.com/annonce-4937-appartement-a-louer-a-la-somone.html","Appartement à louer à La Somone","100.000  FCFA","Somone","media/annonces/pics/9edf2700f584715a6918138e728233d9.jpg"
"1732824645-71","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement à louer à La Somone","https://www.dakarvente.com/annonce-4938-appartement-a-louer-a-la-somone.html","Appartement à louer à La Somone","100.000  FCFA","Somone","media/annonces/pics/4a1a91d9cf01f2b0278b101bd9b3a818.jpg"
"1732824650-72","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Studio meublé à louer au Point E","https://www.dakarvente.com/annonce-5054-studio-meubl-louer-au-point-e.html","Studio meublé à louer au Point E","30.000  FCFA","Point E","media/annonces/pics/23d1927eb453018cca30f71df1587fba.jpg"
"1732824655-73","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement meublé à louer cité keur gorgui","https://www.dakarvente.com/annonce-5055-appartement-meubl-louer-cit-keur-gorgui.html","Appartement meublé à louer cité keur gorgui","30.000  FCFA","Cité Keur Gorgui","media/annonces/pics/d4190a41c2583bfb03e09cbe1a1132f6.jpeg"
"1732824660-74","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement meublé cité keur gorgui","https://www.dakarvente.com/annonce-5056-appartement-meubl-cit-keur-gorgui.html","Appartement meublé cité keur gorgui","35.000  FCFA","Cité Keur Gorgui","media/annonces/pics/151fdfaed5786ddbd33f1e19b8c4c1a2.jpeg"
"1732824665-75","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement à louer","https://www.dakarvente.com/annonce-5239-appartement-louer.html","Appartement à louer","400.000  FCFA","Liberté 6","img/nophoto.png"
"1732824670-76","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","A loyer R +6 au Point","https://www.dakarvente.com/annonce-5268-a-loyer-r-6-au-point.html","A loyer R +6 au Point","1.500.000  FCFA","Point E","media/annonces/pics/fc48734614b30393b1e928ed602bfe2c.png"
"1732824682-77","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","APPARTEMENT A LOUER AU POINT E","https://www.dakarvente.com/annonce-5404-appartement-a-louer-au-point-e.html","APPARTEMENT A LOUER AU POINT E","500.000  FCFA","Point E","media/annonces/pics/64c8c22ebd8ccfc34464ed59360d5a5f.jpg"
"1732824688-78","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","APPARTEMENT A LOUER AU POINT E","https://www.dakarvente.com/annonce-5405-appartement-a-louer-au-point-e.html","APPARTEMENT A LOUER AU POINT E","500.000  FCFA","Point E","media/annonces/pics/a285ab3075a842b391150047ae093413.jpg"
"1732824693-79","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","APPARTEMENT MEUBLE STANDING SUITE DONDOU A DAKAR, KEUR-GORGUI","https://www.dakarvente.com/annonce-5488-appartement-meuble-standing-suite-dondou-a-dakar-keur-gorgui.html","APPARTEMENT MEUBLE STANDING SUITE DONDOU A DAKAR, KEUR-GORGUI","100.000  FCFA","Sacré Coeur","media/annonces/pics/2031db9005ad244d664e4ca5ed02723b.jpg"
"1732824699-80","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement meublé à louer cité keur gorgui","https://www.dakarvente.com/annonce-5559-appartement-meubl-louer-cit-keur-gorgui.html","Appartement meublé à louer cité keur gorgui","35.000  FCFA","Dakar","media/annonces/pics/8661499e09b7e2f26552392c6ec54b0f.jpeg"
"1732824703-81","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement à louer au Point E","https://www.dakarvente.com/annonce-5577-appartement-louer-au-point-e.html","Appartement à louer au Point E","900.000  FCFA","Point E","media/annonces/pics/f08fb871bd48bd97e53d07b0df091a85.jpg"
"1732824708-82","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement à louer sur saly côté l'hôtel lamantin","https://www.dakarvente.com/annonce-5579-appartement-louer-sur-saly-ct-l-htel-lamantin.html","Appartement à louer sur saly côté l'hôtel lamantin","95.000  FCFA","Saly","media/annonces/pics/26f9dbedfd38549f5fb1b12d5db2d59d.jpg"
