web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4,V_4-href
"1732590415-29","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","terrain a vendre","https://www.dakarvente.com/annonce-1252-terrain-a-vendre.html","terrain a vendre","1.500.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590419-30","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Vente de terrains","https://www.dakarvente.com/annonce-1277-vente-de-terrains.html","Vente de terrains","40.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590425-31","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","VENTE DE TERRAIN","https://www.dakarvente.com/annonce-1278-vente-de-terrain.html","VENTE DE TERRAIN","200.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590436-32","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAINS A VENDRE A NDIAKHIRATE","https://www.dakarvente.com/annonce-1404-terrains-a-vendre-a-ndiakhirate.html","TERRAINS A VENDRE A NDIAKHIRATE","1.500.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590440-33","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","terrain a vendre","https://www.dakarvente.com/annonce-1433-terrain-a-vendre.html","terrain a vendre","25.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590446-34","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains à Tivaoune Peulh près de la plage","https://www.dakarvente.com/annonce-1500-terrains-tivaoune-peulh-prs-de-la-plage.html","Terrains à Tivaoune Peulh près de la plage","3.600.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590452-35","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains à Diakhaye cité Safco","https://www.dakarvente.com/annonce-1501-terrains-diakhaye-cit-safco.html","Terrains à Diakhaye cité Safco","4.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590456-36","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Vente de terrain à Diamniadio","https://www.dakarvente.com/annonce-1522-vente-de-terrain-diamniadio.html","Vente de terrain à Diamniadio","","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590461-37","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain","https://www.dakarvente.com/annonce-1526-terrain.html","Terrain","4.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590466-38","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Verger 07 ha vers tivaouane","https://www.dakarvente.com/annonce-1822-verger-07-ha-vers-tivaouane.html","Verger 07 ha vers tivaouane","60.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590471-39","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains Bambilor, Kounoune, Sendou, Keur Moussa","https://www.dakarvente.com/annonce-1910-terrains-bambilor-kounoune-sendou-keur-moussa.html","Terrains Bambilor, Kounoune, Sendou, Keur Moussa","2.700.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590476-40","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Ouakam - terrain","https://www.dakarvente.com/annonce-2113-ouakam-terrain.html","Ouakam - terrain","35.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590481-41","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Verger de 1 hectar a vendre à bayakhe","https://www.dakarvente.com/annonce-2227-verger-de-1-hectar-a-vendre-bayakhe.html","Verger de 1 hectar a vendre à bayakhe","30.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590492-42","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","https://www.dakarvente.com/annonce-2379-terrains-225m2-yenn-vue-sur-mer-et-aroport-aibd.html","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","1.300.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
